Exercise,Pectoralis Major — Clavicular,Pectoralis Major — Sternocostal,Pectoralis Minor,Anterior Deltoid,Lateral Deltoid,Posterior Deltoid,Latissimus Dorsi,Teres Major,Upper Trapezius,Middle Trapezius,Lower Trapezius,Rhomboids,Serratus Anterior,Lumbar Erector Spinae,Biceps Brachii,Brachialis,Brachioradialis,Triceps Brachii — Long Head,Triceps Brachii — Lateral Head,Triceps Brachii — Medial Head,Wrist Flexors,Wrist Extensors,Finger Flexors / Grip,Rectus Abdominis,Obliques,Iliopsoas,Gluteus Maximus,Gluteus Medius + Minimus,Adductor Magnus,Other Hip Adductors,Rectus Femoris,Vastus Lateralis,Vastus Medialis,Vastus Intermedius,Biceps Femoris — Long Head,Biceps Femoris — Short Head,Semitendinosus,Semimembranosus,Gastrocnemius,Soleus
Lat Pulldown (Machine) (Wide Grip),0,0,0,0,0,0,1,0.75,0,0.25,0.5,0.25,0,0,0.25,0.5,0.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lateral Raise (Cable) (Unilateral),0,0,0,0,1,0,0,0,0.25,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lateral Raise (Dumbbell) (Seated),0,0,0,0,1,0,0,0,0.5,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lateral Raise (Dumbbell) (Standing),0,0,0,0,1,0,0,0,0.5,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lateral Raise (Dumbbells) (Seated - Leaning),0,0,0,0,1,0,0,0,0.5,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lateral Raise (Machine),0,0,0,0,1,0,0,0,0.25,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leg Curl (Machine) (Prone),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,1,0.75,0.75,0,0
Leg Curl (Machine) (Prone) (Unilateral),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,1,0.75,0.75,0,0
Leg Curl (Machine) (Seated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.75,1,1,0,0
Leg Curl (Machine) (Seated) (Unilateral),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.75,1,1,0,0
Leg Extension (Machine),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
Leg Extension (Machine) (Unilateral),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
Leg Press (Machine),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0.5,0,0.25,1,1,1,0,0,0,0,0,0
Leg Press (Machine) (Unilateral),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0.5,0,0.25,1,1,1,0,0,0,0,0,0
Leg Press (Machine) (Unilateral) (High Foot Placement),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.75,0,0.25,0.75,0.75,0.75,0,0,0,0,0,0
Leg Press (Machine) (Unilateral) (High Foot Placement) (Plate Loaded),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.75,0,0.25,0.75,0.75,0.75,0,0,0,0,0,0
Lu Raises (Dumbbell) (Seated),0,0,0,0.5,1,0,0,0,0.75,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lu Raises (Dumbbell) (Standing),0,0,0,0.5,1,0,0,0,0.75,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Overhead Press (Barbell) (Standing),0.25,0,0,1,0.75,0,0,0,0.5,0,0.5,0,0.5,0,0,0,0,0.5,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Overhead Press (Dumbbell) (Seated) (Close Grip) (Incline 60),0.75,0.25,0,1,0,0,0,0,0.25,0,0.25,0,0.25,0,0,0,0,0.5,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Overhead Press (Dumbbell) (Seated) (Wide Grip) (Incline 60),0.75,0.25,0,0.75,0.75,0,0,0,0.25,0,0.25,0,0.25,0,0,0,0,0.5,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Overhead Press (Landmine) (Barbell) (Kneeling),0.5,0,0,1,0,0,0,0,0.25,0,0.25,0,0.75,0,0,0,0,0.5,0.75,0.75,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Overhead Press (Machine) (Close Grip),0.25,0,0,1,0,0,0,0,0.25,0,0.25,0,0.25,0,0,0,0,0.5,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Overhead Press (Machine) (Wide Grip),0.25,0,0,0.75,0.75,0,0,0,0.25,0,0.25,0,0.25,0,0,0,0,0.5,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Overhead Press (Smith Machine),0.25,0,0,1,0,0,0,0,0.25,0,0.25,0,0.25,0,0,0,0,0.5,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Press (Barbell),0.75,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Press (Barbell) (Incline 15),0.75,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Press (Barbell) (Incline 20),1,0.75,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Press (Barbell) (Incline 24),1,0.75,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Press (Barbell) (Incline 30),1,0.75,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Press (Barbell) (Incline 30) (Larson),1,0.75,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Press (Barbell) (Larson),0.75,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Press (Barbell) (Paused),0.75,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Press (Barbell) (Spoto) (Paused),0.75,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Press (Cable) (Horizontal),0.75,1,0,0.5,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.5,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Press (Dumbbell) (Incline 15),0.75,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Press (Dumbbell) (Incline 20),1,0.75,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Press (Dumbbell) (Incline 24),1,0.75,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Press (Dumbbell) (Incline 30),1,0.75,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Press (Dumbbell) (Incline 40),1,0.5,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Press (Machine) (Horizontal),0.75,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Press (Machine) (Horizontal) (Plate Loaded),0.75,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Press (Machine) (Incline),1,0.5,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Press (Machine) (Incline) (Plate Loaded),1,0.5,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Press (Machine) (Incline) (Plate Loaded) (Close Neutral Grip),0.75,0.5,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Press (Smith Machine),0.75,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Press (Smith Machine) (Incline 10),0.75,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Press (Smith Machine) (Incline 30),1,0.75,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Press (Smith Machine) (Larson),0.75,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pullover (Cable) (EZ Bar Attachment),0,0.25,0,0,0,0,1,0.75,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pullover (Machine),0,0.25,0,0,0,0,1,0.75,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pullup (Bodyweight) (Neutral Grip),0,0,0,0,0,0,1,0.75,0,0.25,0.5,0.25,0,0,0.5,0.75,0.75,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pushdown (Cable) (EZ bar),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pushdown (Cable) (Unilateral),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pushdown (Cable) (V-Bar),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pushdown (Cable) (Wrist Cuffs),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pushdown (Machine),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RDLs (Barbell),0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0.5,0,0,0,0.75,0,0.5,0,0,0,0,0,1,0,1,1,0,0
Rear Delt Fly (Cable) (Unilateral),0,0,0,0,0,1,0,0,0,0.75,0.25,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rear Delt Fly (Machine),0,0,0,0,0,1,0,0,0,0.75,0.25,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reverse Curls (Cable) (Straight Bar),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,1,1,0,0,0,0,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reverse Curls (Cable) (Unilateral),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,1,1,0,0,0,0,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reverse Curls (EZ Bar) (Standing),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,1,1,0,0,0,0,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reverse Curls (EZ Bar) (Standing) (Strict),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,1,1,0,0,0,0,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Row (Barbell) (Bent Over) (Wide),0,0,0,0,0,1,0,0,0,1,0.25,1,0,0.75,0.25,0.5,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Row (Cable Machine) (Close Grip),0,0,0,0,0,0.5,1,0.75,0,0.75,0.25,0.75,0,0,0.5,0.5,0.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Row (Cable Machine) (Close Grip) (Unilateral),0,0,0,0,0,0.5,1,0.75,0,0.75,0.25,0.75,0,0,0.5,0.5,0.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Row (Cable Machine) (Wide Grip) (Pronated),0,0,0,0,0,1,0,0,0,1,0.25,1,0,0,0.25,0.5,0.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Row (Dumbbell) (Bent Over) (Unilateral),0,0,0,0,0,0.5,1,0.75,0,0.5,0.25,0.5,0,0,0.5,0.5,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Row (Machine) (Chest Supported) (Close Grip),0,0,0,0,0,0.5,1,0.75,0,0.75,0.25,0.75,0,0,0.5,0.5,0.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Row (Machine) (Chest Supported) (Unilateral),0,0,0,0,0,0.5,1,0.75,0,0.75,0.25,0.75,0,0,0.5,0.5,0.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
